col1,col1,col2,col3,col4,parallax,parallax_error,zpvals,parallax_corrected
0,HD027778,Gaia,DR3,149308357591150336,4.713187387311956,0.028076153,-0.040979,4.754166387311956
1,HD030470,Gaia,DR3,3294763184785097344,1.84582679359189,0.05165715,-0.030964,1.87679079359189
2,HD030492,Gaia,DR3,3294764039481074816,2.287093129774699,0.04212661,-0.032,2.319093129774699
3,HD037903,Gaia,DR3,3216478266124377984,2.5040054940051517,0.027070567,-0.028945,2.532950494005152
4,HD038023,Gaia,DR3,3015742421106392192,2.3982400600466938,0.019981604,-0.024783,2.4230230600466935
5,HD046149,Gaia,DR3,3131385205826979200,0.6384512913693035,0.032339938,-0.03244,0.6708912913693035
6,HD046202,Gaia,DR3,3131336896034833536,0.7087430929769448,0.11477819,-0.031026,0.7397690929769448
7,HD046223,Gaia,DR3,3131331054879415680,0.6967601672116311,0.026444409,-0.032921,0.7296811672116311
8,HD047382,Gaia,DR3,3130884103403318016,1.040567017620491,0.07820012,-0.033431,1.073998017620491
9,HD054439,Gaia,DR3,3045380474291436672,0.9709281675038942,0.0379079,-0.025168,0.9960961675038942
10,HD062542,Gaia,DR3,5535791048699118080,2.722889741988169,0.016394068,-0.010892,2.733781741988169
11,HD070614,Gaia,DR3,5527109889003501568,0.6528316054136103,0.012991824,-0.012066,0.6648976054136103
12,HD091824,Gaia,DR3,5351451529087848832,0.5380075587621852,0.028127624,-0.012223,0.5502305587621852
13,HD092044,Gaia,DR3,5350697538989065728,0.4205857461845675,0.02202618,-0.012124,0.43270974618456753
14,HD093205,Gaia,DR3,5350357313186767104,0.4307558446273108,0.024831856,-0.012489,0.44324484462731084
15,HD093222,Gaia,DR3,5254222888417319424,0.4101674407164871,0.02284326,-0.012116,0.4222834407164871
16,HD096675,Gaia,DR3,5225391185233150720,6.155866405290023,0.0475749,-0.009291,6.1651574052900235
17,HD101008,Gaia,DR3,5333590516769528064,0.4082267810138174,0.019522103,-0.012243,0.4204697810138174
18,HD108927,Gaia,DR3,5788478818126820352,2.979016748526206,0.025394058,-0.01093,2.989946748526206
19,HD110336,Gaia,DR3,5789101897620485376,3.2299357283526797,0.0144328065,-0.010751,3.2406867283526797
20,HD110715,Gaia,DR3,5861795490489975936,1.904347778817307,0.033579674,-0.014532,1.918879778817307
21,HD110946,Gaia,DR3,5861802259359559168,0.4739562718729342,0.012199402,-0.014403,0.4883592718729342
22,HD112607,Gaia,DR3,5861994192847013376,1.6826487609358196,0.020026838,-0.015805,1.6984537609358197
23,HD112954,Gaia,DR3,5863155655040550272,2.608898667686667,0.01730164,-0.015709,2.624607667686667
24,HD129557,Gaia,DR3,5893392327911628928,2.418694747365614,0.03798269,-0.026031,2.4447257473656143
25,HD146284,Gaia,DR3,6049720650582772096,4.903701120334305,0.029662495,-0.03895,4.942651120334305
26,HD146285,Gaia,DR3,6049614307192716288,6.423265971256157,0.030470224,-0.035475,6.458740971256157
27,HD147196,Gaia,DR3,6050172068822858624,7.244764495618772,0.026468666,-0.03817,7.282934495618772
28,HD148579,Gaia,DR3,6046049376957458688,7.125008341017836,0.07726442,-0.036813,7.161821341017837
29,HD148594,Gaia,DR3,6044312015450235904,5.451366061653072,0.027697766,-0.038056,5.489422061653072
30,HD152245,Gaia,DR3,5969733241267969280,0.538066930006756,0.029653804,-0.030696,0.568762930006756
31,HD152249,Gaia,DR3,5966509748041919616,0.6462567715312362,0.02292427,-0.034411,0.6806677715312361
32,HD156247,Gaia,DR3,4386731922277625344,4.232586828259042,0.08575694,-0.041476,4.2740628282590425
33,HD164402,Gaia,DR3,4069469560083491712,1.3357220378316246,0.14886041,-0.042244,1.3779660378316245
34,HD167264,Gaia,DR3,4093968702062993664,0.8769077486837962,0.16677898,-0.042525,0.9194327486837962
35,HD167771,Gaia,DR3,4094879303848709376,0.6410862981904729,0.03257646,-0.041225,0.6823112981904729
36,HD168076,Gaia,DR3,4146599132529067520,0.9164959645000548,0.27745038,-0.035896,0.9523919645000548
37,HD170634,Gaia,DR3,4273717554464045184,2.2830840192337134,0.018116893,-0.031317,2.3144010192337134
38,HD170740,Gaia,DR3,4154910272219704960,4.415869678209768,0.087119676,-0.04165,4.457519678209768
39,HD185418,Gaia,DR3,4322021849109320320,1.4147283473588566,0.020510655,-0.031458,1.4461863473588565
40,HD287150,Gaia,DR3,3294750261225993600,2.4728427098239236,0.017120639,-0.031486,2.5043287098239237
41,HD294304,Gaia,DR3,3216425077249564032,1.324355031923099,0.018988727,-0.025581,1.349936031923099
42,HD303308,Gaia,DR3,5350358683250920704,0.4431537531559985,0.021269225,-0.012135,0.4552887531559985
43,HD315021,Gaia,DR3,4066068972464771968,0.6952750537112906,0.03472343,-0.033804,0.7290790537112906
44,HD315023,Gaia,DR3,4066117767622411008,0.7726822505259147,0.022931973,-0.029759,0.8024412505259146
45,HD315024,Gaia,DR3,4066069144263463552,0.7412758563514109,0.025258187,-0.030709,0.7719848563514109
46,HD315032,Gaia,DR3,4065974723702431104,0.7251123221963586,0.02999747,-0.031851,0.7569633221963585
